metric_key,metric_name,metric_type,domain,description,value
accepted_issues,Accepted Issues,INT,Issues,Accepted issues,0
alert_status,Quality Gate Status,LEVEL,Releasability,The project status with regard to its quality gate.,OK
analysis_from_sonarqube_9_4,Analysis From SonarQube 9.4,BOOL,Issues,Indicates whether the analysis has been run after the upgrade to SonarQube 9.4. It affects how the issues will be detected for branches that use reference branch as the strategy for detecting new code.,true
blocker_violations,Blocker Issues,INT,Issues,Blocker issues,2
branch_coverage,Condition Coverage,PERCENT,Coverage,Condition coverage,86.6
bugs,Bugs,INT,Reliability,Bugs,0
classes,Classes,INT,Size,Classes,55
code_smells,Code Smells,INT,Maintainability,Code Smells,21
cognitive_complexity,Cognitive Complexity,INT,Complexity,Cognitive complexity,59
comment_lines,Comment Lines,INT,Size,Number of comment lines,14
comment_lines_data,comment_lines_data,DATA,Size,,
comment_lines_density,Comments (%),PERCENT,Size,Comments balanced by ncloc + comment lines,0.7
complexity,Cyclomatic Complexity,INT,Complexity,Cyclomatic complexity,173
conditions_to_cover,Conditions to Cover,INT,Coverage,Conditions to cover,82
confirmed_issues,Confirmed Issues,INT,Issues,Confirmed issues,0
coverage,Coverage,PERCENT,Coverage,Coverage by tests,86.9
critical_violations,Critical Issues,INT,Issues,Critical issues,5
development_cost,Development Cost,STRING,Maintainability,Development cost,60480
duplicated_blocks,Duplicated Blocks,INT,Duplications,Duplicated blocks,0
duplicated_files,Duplicated Files,INT,Duplications,Duplicated files,0
duplicated_lines,Duplicated Lines,INT,Duplications,Duplicated lines,0
duplicated_lines_density,Duplicated Lines (%),PERCENT,Duplications,Duplicated lines balanced by statements,0.0
duplications_data,Duplication Details,DATA,Duplications,Duplications details,
effort_to_reach_maintainability_rating_a,Effort to Reach Maintainability Rating A,WORK_DUR,Maintainability,Effort to reach maintainability rating A,0
effort_to_reach_software_quality_maintainability_rating_a,Effort to Reach Maintainability Rating A,WORK_DUR,Maintainability,Effort to reach maintainability rating A,0
executable_lines_data,executable_lines_data,DATA,Coverage,,
false_positive_issues,False Positive Issues,INT,Issues,False positive issues,0
files,Files,INT,Size,Number of files,56
functions,Functions,INT,Size,Functions,113
generated_lines,Generated Lines,INT,Size,Number of generated lines,
generated_ncloc,Generated Lines of Code,INT,Size,Generated non Commenting Lines of Code,
high_impact_accepted_issues,Blocker and High Severity Accepted Issues,INT,Issues,Accepted issues with blocker or high impact,0
info_violations,Info Issues,INT,Issues,Info issues,0
issues_in_sandbox,Issues in Sandbox,INT,Issues,Count of issues that are in sandbox status.,0
